Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,10113,2012-10-22,-0.014905623,0.0278584238,0.02732634,21,100
Market-Adjusted Model,10151,2012-10-22,0.0039534468,0.0465740184,0.0461854099,21,100
Market-Adjusted Model,10158,2012-10-22,-0.083765133,-0.040388601,-0.04153317,21,100
Market-Adjusted Model,10201,2012-10-22,-0.160782628,-0.125294647,-0.118550665,21,100
Market-Adjusted Model,10220,2012-10-22,0.025390611,0.068876938,0.0676225741,21,100
Market-Adjusted Model,10223,2012-10-22,-0.228915663,-0.194878431,-0.186683699,21,100
Market-Adjusted Model,11003,2012-10-22,0.0141422764,0.0589057214,0.0563742395,21,100
Market-Adjusted Model,11061,2012-10-22,0.2184996377,0.2615919329,0.2607316008,21,100
Market-Adjusted Model,11182,2012-10-22,-0.218085155,-0.179229427,-0.175853191,21,100
Market-Adjusted Model,11264,2012-10-22,-0.096861773,-0.055400623,-0.05462981,21,100
Market-Adjusted Model,11361,2012-10-22,0.0607934186,0.1036656812,0.1030253817,21,100
Market-Adjusted Model,11363,2012-10-22,-0.061170216,-0.019015706,-0.018938253,21,100
Market-Adjusted Model,11370,2012-10-22,0.0809943266,0.1253709405,0.1232262897,21,100
Market-Adjusted Model,11407,2012-10-22,-0.061244731,-0.019979444,-0.019012768,21,100
Market-Adjusted Model,11505,2012-10-22,-0.024650116,0.0188668396,0.0175818476,21,100
Market-Adjusted Model,11648,2012-10-22,0.0176256218,0.0604768068,0.0598575849,21,100
Market-Adjusted Model,11664,2012-10-22,-0.134630386,-0.071860879,-0.092398423,21,100
Market-Adjusted Model,11814,2012-10-22,-0.034946861,0.0081923835,0.0072851023,21,100
Market-Adjusted Model,11969,2012-10-22,-0.020853009,0.0232216561,0.0213789537,21,100
Market-Adjusted Model,11972,2012-10-22,-0.054634858,-0.010608531,-0.012402895,21,100
Market-Adjusted Model,11979,2012-10-22,-0.00772751,0.0360641382,0.0345044532,21,100
Market-Adjusted Model,11980,2012-10-22,-0.015867076,0.0282826569,0.0263648875,21,100
Market-Adjusted Model,11984,2012-10-22,-0.024846977,0.0187756061,0.0173849863,21,100
Market-Adjusted Model,11986,2012-10-22,-0.007580095,0.035620657,0.0346518684,21,100
Market-Adjusted Model,11988,2012-10-22,-0.02219352,0.0212865847,0.0200384432,21,100
Market-Adjusted Model,11989,2012-10-22,-0.005523936,0.0376009991,0.0367080274,21,100
Market-Adjusted Model,11990,2012-10-22,-0.007693581,0.0379369752,0.0345383824,21,100
Market-Adjusted Model,11993,2012-10-22,0.3272727812,0.3463424162,0.3695047443,21,100
Market-Adjusted Model,11996,2012-10-22,0.002661027,0.0450330562,0.0448929901,21,100
Market-Adjusted Model,11999,2012-10-22,-0.175551456,-0.138032101,-0.133319493,21,100
Market-Adjusted Model,12007,2012-10-22,-0.277741204,-0.226280887,-0.235509241,21,100
Market-Adjusted Model,12009,2012-10-22,-0.058918925,-0.013874319,-0.016686962,21,100
Market-Adjusted Model,12011,2012-10-22,0.0344061512,0.0791208396,0.0766381142,21,100
Market-Adjusted Model,12014,2012-10-22,0.0196078245,0.0631392403,0.0618397875,21,100
Market-Adjusted Model,12015,2012-10-22,-0.005054402,0.0378957974,0.0371775608,21,100
Market-Adjusted Model,12017,2012-10-22,-0.28634359,-0.064137562,-0.244111627,21,100
Market-Adjusted Model,12018,2012-10-22,0.2931034046,0.3174859126,0.3353353677,21,100
Market-Adjusted Model,12021,2012-10-22,0.0110395494,0.0543564231,0.0532715125,21,100
Market-Adjusted Model,12023,2012-10-22,-0.267123267,-0.222985691,-0.224891303,21,100
Market-Adjusted Model,12025,2012-10-22,-0.064120521,-0.022533264,-0.021888558,21,100
Market-Adjusted Model,12026,2012-10-22,-0.047046501,0.0049870181,-0.004814538,21,100
Market-Adjusted Model,12027,2012-10-22,-0.122580609,-0.084617291,-0.080348645,21,100
Market-Adjusted Model,12030,2012-10-22,-0.125807664,-0.058137504,-0.083575701,21,100
Market-Adjusted Model,12034,2012-10-22,-0.039138969,0.0030595657,0.0030929938,21,100
Market-Adjusted Model,12035,2012-10-22,-0.015101084,0.0272393612,0.0271308792,21,100
Market-Adjusted Model,12038,2012-10-22,-0.055350586,-0.008233966,-0.013118623,21,100
Market-Adjusted Model,12039,2012-10-22,-0.008073752,0.0345805345,0.0341582116,21,100
Market-Adjusted Model,12043,2012-10-22,0.0145166797,0.0460191184,0.0459308971,16,100
Market-Adjusted Model,12047,2012-10-22,-0.074098518,-0.031990606,-0.031866554,21,100
Market-Adjusted Model,12049,2012-10-22,-0.181773918,-0.149124511,-0.139541955,21,100
Market-Adjusted Model,12051,2012-10-22,-0.178247707,-0.149024127,-0.136015744,21,100
Market-Adjusted Model,12054,2012-10-22,-0.058510626,-0.015221518,-0.016278663,21,100
Market-Adjusted Model,12056,2012-10-22,-0.070175482,-0.015405666,-0.027943519,21,100
Market-Adjusted Model,12057,2012-10-22,-0.141327588,-0.10288704,-0.099095625,21,100
Market-Adjusted Model,12059,2012-10-22,0.0029946765,0.0453370044,0.0452266396,21,100
Market-Adjusted Model,12064,2012-10-22,0.0006001035,0.0429011621,0.0428320666,21,100
Market-Adjusted Model,12065,2012-10-22,0.0034044626,0.045797689,0.0456364257,21,100
Market-Adjusted Model,12066,2012-10-22,-0.027464252,0.0149754598,0.0147677112,21,100
Market-Adjusted Model,12070,2012-10-22,0.0093572298,0.0524396744,0.0515891929,21,100
Market-Adjusted Model,12075,2012-10-22,0.0075936999,0.0499279645,0.049825663,21,100
Market-Adjusted Model,12078,2012-10-22,-0.148809533,-0.106808372,-0.10657757,21,100
Market-Adjusted Model,12080,2012-10-22,-0.005333329,0.0389463258,0.0368986341,21,100
Market-Adjusted Model,12082,2012-10-22,-0.188701895,-0.136991669,-0.146469931,21,100
Market-Adjusted Model,12084,2012-10-22,0.0051423691,0.0666194517,0.0473743322,21,100
Market-Adjusted Model,12085,2012-10-22,-0.11051215,-0.066398848,-0.068280187,21,100
Market-Adjusted Model,12088,2012-10-22,-0.083809532,-0.041191108,-0.041577569,21,100
Market-Adjusted Model,12089,2012-10-22,-0.11782605,-0.079095836,-0.075594087,21,100
Market-Adjusted Model,12090,2012-10-22,-0.102473486,-0.060540812,-0.060241523,21,100
Market-Adjusted Model,12093,2012-10-22,-0.176319696,-0.146470771,-0.134087733,21,100
Market-Adjusted Model,12097,2012-10-22,0.0491367728,0.1019969794,0.0913687359,21,100
Market-Adjusted Model,12098,2012-10-22,-0.000400811,0.0424358428,0.0418311524,21,100
Market-Adjusted Model,12103,2012-10-22,0.0044406897,0.047039174,0.0466726528,21,100
Market-Adjusted Model,12105,2012-10-22,0.0035273033,0.0466779194,0.0457592664,21,100
Market-Adjusted Model,12109,2012-10-22,0.003372129,0.0463731641,0.045604092,21,100
Market-Adjusted Model,12219,2012-10-22,0.0732567739,0.1156939994,0.1154887369,21,100
Market-Adjusted Model,12287,2012-10-22,0.0050600849,0.0481148782,0.047292048,21,100
Market-Adjusted Model,12288,2012-10-22,-0.032276536,0.0111708436,0.0099554276,21,100
Market-Adjusted Model,12289,2012-10-22,0.0089666758,0.0513061513,0.0511986389,21,100
Market-Adjusted Model,12290,2012-10-22,0.0150260265,0.0574648387,0.0572579896,21,100
Market-Adjusted Model,12291,2012-10-22,-0.056217643,-0.007648861,-0.01398568,21,100
Market-Adjusted Model,12292,2012-10-22,-0.024156492,0.018780003,0.0180754716,21,100
Market-Adjusted Model,12293,2012-10-22,-0.000520301,0.0472407022,0.0417116624,21,100
Market-Adjusted Model,12294,2012-10-22,-0.046389686,-0.004512472,-0.004157723,21,100
Market-Adjusted Model,12295,2012-10-22,-0.037082265,0.0052966428,0.0051496984,21,100
Market-Adjusted Model,12296,2012-10-22,-0.037069379,0.0055810486,0.0051625844,21,100
Market-Adjusted Model,12297,2012-10-22,-0.036995956,0.0054839016,0.0052360074,21,100
Market-Adjusted Model,12301,2012-10-22,-0.034194085,0.0082983285,0.0080378779,21,100
Market-Adjusted Model,12302,2012-10-22,-0.016017262,0.0271820333,0.0262147006,21,100
Market-Adjusted Model,12303,2012-10-22,-0.010585932,0.0326500907,0.0316460306,21,100
Market-Adjusted Model,12304,2012-10-22,-0.012389822,0.0308647501,0.0298421414,21,100
Market-Adjusted Model,12305,2012-10-22,-0.043205254,-0.001039663,-0.000973291,21,100
Market-Adjusted Model,12306,2012-10-22,0.0047118616,0.0471619279,0.0469438246,21,100
Market-Adjusted Model,12307,2012-10-22,-0.096989949,-0.027890478,-0.054757986,21,100
Market-Adjusted Model,12308,2012-10-22,-0.092251374,-0.052222296,-0.050019411,21,100
Market-Adjusted Model,12309,2012-10-22,0.0318210563,0.0751271728,0.0740530194,21,100
Market-Adjusted Model,12310,2012-10-22,6.2881356219,3.4148579289,6.3303675849,21,100
Market-Adjusted Model,12312,2012-10-22,-0.265616481,-0.258967245,-0.223384518,21,100
Market-Adjusted Model,12313,2012-10-22,-0.035036766,0.0073230852,0.0071951967,21,100
Market-Adjusted Model,12314,2012-10-22,-0.048788717,-0.006999441,-0.006556754,21,100
Market-Adjusted Model,12315,2012-10-22,-0.035475392,0.0070200907,0.0067565708,21,100
Market-Adjusted Model,12316,2012-10-22,-0.042040661,0.0000613849,0.0001913024,21,100
Market-Adjusted Model,12317,2012-10-22,-0.046193686,-0.0038716,-0.003961723,21,100
Market-Adjusted Model,12318,2012-10-22,-0.043270972,-0.000840375,-0.001039009,21,100
Market-Adjusted Model,12321,2012-10-22,-0.04836987,-0.006128155,-0.006137907,21,100
Market-Adjusted Model,12322,2012-10-22,-0.020635336,0.0217534601,0.0215966268,21,100
Market-Adjusted Model,12323,2012-10-22,0.0501419778,0.0926709613,0.0923739409,21,100
Market-Adjusted Model,12324,2012-10-22,0.1788618109,0.2229287859,0.221093774,21,100
Market-Adjusted Model,12325,2012-10-22,-0.081176483,-0.021616292,-0.03894452,21,100
Market-Adjusted Model,12326,2012-10-22,-0.055599669,-0.013618587,-0.013367706,21,100
Market-Adjusted Model,12329,2012-10-22,-0.043821211,-0.001223238,-0.001589247,21,100
Market-Adjusted Model,12330,2012-10-22,-0.144027286,-0.109355278,-0.101795322,21,100
Market-Adjusted Model,12331,2012-10-22,-0.012494494,0.030225188,0.0297374693,21,100
Market-Adjusted Model,12332,2012-10-22,-0.0248472,0.0197506348,0.0173847632,21,100
Market-Adjusted Model,12333,2012-10-22,-0.039877262,0.0037535146,0.0023547007,21,100
Market-Adjusted Model,12334,2012-10-22,0.0140656238,0.062816621,0.0562975869,21,100
Market-Adjusted Model,12337,2012-10-22,0.0169712923,0.0614900702,0.0592032554,21,100
Market-Adjusted Model,12338,2012-10-22,-0.078787881,-0.037023399,-0.036555918,21,100
Market-Adjusted Model,12339,2012-10-22,0.0976191225,0.1415153888,0.1398510856,21,100
Market-Adjusted Model,12340,2012-10-22,-0.100000002,-0.056277223,-0.057768039,21,100
Market-Adjusted Model,12341,2012-10-22,-0.03885981,0.0031790421,0.003372153,21,100
Market-Adjusted Model,12342,2012-10-22,-0.026386634,0.0174278531,0.0158453286,21,100
Market-Adjusted Model,12345,2012-10-22,0.0018982269,0.0495548147,0.04413019,21,100
Market-Adjusted Model,12347,2012-10-22,0.4988706586,0.4777141179,0.5411026217,21,100
Market-Adjusted Model,12348,2012-10-22,-0.005702059,0.0458025744,0.0365299044,21,100
Market-Adjusted Model,12349,2012-10-22,-0.104147471,-0.062815133,-0.061915508,21,100
Market-Adjusted Model,12350,2012-10-22,-0.328271063,-0.330424194,-0.2860391,21,100
Market-Adjusted Model,12352,2012-10-22,0.0040899801,0.057434539,0.0463219432,21,100
Market-Adjusted Model,12353,2012-10-22,-0.037343339,0.0086162082,0.0048886243,21,100
Market-Adjusted Model,12355,2012-10-22,-0.02674775,0.016479344,0.0154842134,21,100
Market-Adjusted Model,12356,2012-10-22,-0.014108387,0.0341771962,0.0281235764,21,100
Market-Adjusted Model,12357,2012-10-22,0.1509434939,0.2318595404,0.193175457,21,100
Market-Adjusted Model,12358,2012-10-22,0.0579710374,0.1556120744,0.1002030005,21,100
Market-Adjusted Model,12359,2012-10-22,0.0465116257,0.0947015322,0.0887435888,21,100
Market-Adjusted Model,12360,2012-10-22,-0.320652191,-0.324600025,-0.278420228,21,100
Market-Adjusted Model,12362,2012-10-22,0.0396756659,0.0835646018,0.081907629,21,100
Market-Adjusted Model,12363,2012-10-22,0.1040849065,0.146842296,0.1463168696,21,100
Market-Adjusted Model,12364,2012-10-22,-0.093650816,-0.039101353,-0.051418853,21,100
Market-Adjusted Model,12365,2012-10-22,0.3434959308,0.3625362354,0.3857278939,21,100
Market-Adjusted Model,12366,2012-10-22,0.0356600362,0.0837010445,0.0778919993,21,100
Market-Adjusted Model,12367,2012-10-22,0.1363636146,0.1826751631,0.1785955777,21,100
Market-Adjusted Model,12368,2012-10-22,0.0141688954,0.0575114666,0.0564008584,21,100
Market-Adjusted Model,12369,2012-10-22,0.0092742492,0.0591599673,0.0515062123,21,100
Market-Adjusted Model,12370,2012-10-22,-0.072447848,-0.029967407,-0.030215885,21,100
Market-Adjusted Model,12371,2012-10-22,-0.035600762,0.0076892692,0.0066312012,21,100
Market-Adjusted Model,12372,2012-10-22,-0.108050342,-0.070205939,-0.065818379,21,100
Market-Adjusted Model,12373,2012-10-22,-0.036275047,0.0073908191,0.0059569158,21,100
Market-Adjusted Model,12374,2012-10-22,-0.180154133,-0.146814969,-0.13792217,21,100
Market-Adjusted Model,12375,2012-10-22,-0.06792284,-0.026096232,-0.025690877,21,100
Market-Adjusted Model,12376,2012-10-22,-0.010050208,0.0331906161,0.0321817554,21,100
Market-Adjusted Model,12377,2012-10-22,0.0294117362,0.0770028668,0.0716436993,21,100
Market-Adjusted Model,12379,2012-10-22,0.0077086112,0.0501618729,0.0499405743,21,100
Market-Adjusted Model,12380,2012-10-22,-0.096385524,-0.057107949,-0.05415356,21,100
Market-Adjusted Model,12381,2012-10-22,0.0016165857,0.0440443589,0.0438485488,21,100
Market-Adjusted Model,12382,2012-10-22,-0.162011157,-0.124359525,-0.119779194,21,100
Market-Adjusted Model,12383,2012-10-22,-0.160000021,-0.11749081,-0.117768057,21,100
Market-Adjusted Model,12384,2012-10-22,0.0223117731,0.0656206731,0.0645437361,21,100
Market-Adjusted Model,12385,2012-10-22,-0.026058604,0.0175907626,0.0161733588,21,100
Market-Adjusted Model,12388,2012-10-22,-0.056701038,-0.008765158,-0.014469075,21,100
Market-Adjusted Model,12389,2012-10-22,-0.183423899,-0.147481652,-0.141191936,21,100
Market-Adjusted Model,12390,2012-10-22,-0.142011835,-0.107541675,-0.099779872,21,100
Market-Adjusted Model,12391,2012-10-22,-0.113525118,-0.069768386,-0.071293155,21,100
Market-Adjusted Model,12392,2012-10-22,-0.199395727,-0.171333811,-0.157163763,21,100
Market-Adjusted Model,12397,2012-10-22,0.1415524806,0.1934748976,0.1837844437,21,100
Market-Adjusted Model,12398,2012-10-22,-0.025889944,0.017164108,0.0163420193,21,100
Market-Adjusted Model,12399,2012-10-22,-0.109890112,-0.061691742,-0.067658148,21,100
Market-Adjusted Model,12400,2012-10-22,-0.047538767,-0.0041914,-0.005306804,21,100
Market-Adjusted Model,12401,2012-10-22,0.1999999892,0.3162683735,0.2220387989,5,100
Market-Adjusted Model,12402,2012-10-22,0.0202020203,0.1883839137,0.0624339834,21,100
Market-Adjusted Model,12403,2012-10-22,0.0367923933,0.0804300098,0.0790243564,21,100
Market-Adjusted Model,12405,2012-10-22,-0.036202192,0.011515166,0.0060297713,21,100
Market-Adjusted Model,12406,2012-10-22,0.0640556366,0.1151082217,0.1062875997,21,100
Market-Adjusted Model,12409,2012-10-22,-0.002361329,0.0399567032,0.0398706337,21,100
Market-Adjusted Model,12410,2012-10-22,0.0042805136,0.0494157282,0.0465124767,21,100
Market-Adjusted Model,12411,2012-10-22,0.2408888631,0.265791519,0.2831208262,21,100
Market-Adjusted Model,12412,2012-10-22,0.0176734059,0.0605433985,0.059905369,21,100
Market-Adjusted Model,12413,2012-10-22,-0.274193525,-0.261147342,-0.231961562,21,100
Market-Adjusted Model,12437,2012-10-22,-0.130300728,-0.091944976,-0.088068765,21,100
Market-Adjusted Model,12438,2012-10-22,0.003934129,0.0462665472,0.0461660921,21,100
Market-Adjusted Model,12439,2012-10-22,-0.157894712,-0.122461072,-0.115662749,21,100
Market-Adjusted Model,12440,2012-10-22,-0.053571409,-0.010301727,-0.011339446,21,100
Market-Adjusted Model,12442,2012-10-22,0.1045473527,0.1784434329,0.1467793158,21,100
Market-Adjusted Model,12443,2012-10-22,-0.164846945,-0.100725041,-0.122614982,21,100
Market-Adjusted Model,12444,2012-10-22,-0.135255012,-0.096787278,-0.093023048,21,100
Market-Adjusted Model,12445,2012-10-22,-0.082532893,-0.041952048,-0.04030093,21,100
Market-Adjusted Model,12446,2012-10-22,-0.058394201,-0.014193757,-0.016162238,21,100
Market-Adjusted Model,12447,2012-10-22,-0.018439117,0.0298055378,0.0237928465,21,100
Market-Adjusted Model,12448,2012-10-22,0.0141632704,0.0575774096,0.0563952335,21,100
Market-Adjusted Model,12449,2012-10-22,0.0124863033,0.0558991238,0.0547182664,21,100
Market-Adjusted Model,12450,2012-10-22,-0.065995439,-0.024351719,-0.023763476,21,100
Market-Adjusted Model,12451,2012-10-22,-0.061855609,-0.019019602,-0.019623646,21,100
Market-Adjusted Model,12452,2012-10-22,-0.112359513,-0.068435645,-0.07012755,21,100
Market-Adjusted Model,12453,2012-10-22,-0.003525011,0.038774261,0.0387069517,21,100
Market-Adjusted Model,12454,2012-10-22,-0.125925977,-0.084540058,-0.083694014,21,100
Market-Adjusted Model,12455,2012-10-22,0.0889654687,0.145680451,0.1311974318,21,100
Market-Adjusted Model,12457,2012-10-22,-0.019323669,0.023692819,0.0229082945,21,100
Market-Adjusted Model,12460,2012-10-22,-0.00138339,0.0420892159,0.0408485731,21,100
Market-Adjusted Model,12461,2012-10-22,-0.064742442,-0.023600808,-0.022510479,21,100
Market-Adjusted Model,12462,2012-10-22,-0.00808174,0.0344428064,0.0341502227,21,100
Market-Adjusted Model,12463,2012-10-22,0.0309306499,0.0734408071,0.073162613,21,100
Market-Adjusted Model,12464,2012-10-22,-0.043267967,-0.000506321,-0.001036004,21,100
Market-Adjusted Model,12465,2012-10-22,-0.013106902,0.0300200391,0.0291250615,21,100
Market-Adjusted Model,12468,2012-10-22,-0.017595575,0.0256586656,0.0246363881,21,100
Market-Adjusted Model,12469,2012-10-22,-0.018332378,0.0247336677,0.0238995848,21,100
Market-Adjusted Model,12470,2012-10-22,-0.05411976,-0.012190645,-0.011887797,21,100
Market-Adjusted Model,12471,2012-10-22,-0.021390136,0.0216897393,0.0208418268,21,100
Market-Adjusted Model,12472,2012-10-22,0.0076813674,0.0505034174,0.0499133305,21,100
Market-Adjusted Model,12473,2012-10-22,0.0590809527,0.1067588943,0.1013129158,21,100
Market-Adjusted Model,12476,2012-10-22,-0.014187273,0.0301873152,0.0280446896,21,100
Market-Adjusted Model,12477,2012-10-22,-0.072317797,-0.029049413,-0.030085834,21,100
Market-Adjusted Model,12478,2012-10-22,0.0050710142,0.0528950468,0.0473029773,21,100
Market-Adjusted Model,12479,2012-10-22,-0.012820431,0.0014650633,0.0014924854,6,100
Market-Adjusted Model,12480,2012-10-22,-0.013084055,0.0336903917,0.0291479076,21,100
Market-Adjusted Model,12481,2012-10-22,0.0558881685,0.0996862847,0.0981201316,21,100
Market-Adjusted Model,12484,2012-10-22,0.3636364333,0.3873481211,0.4058683964,21,100
Market-Adjusted Model,12486,2012-10-22,0.0198675309,0.0834766819,0.062099494,21,100
Market-Adjusted Model,12487,2012-10-22,0.0111242487,0.0540883568,0.0533562118,21,100
Market-Adjusted Model,12488,2012-10-22,-0.25274727,-0.219556172,-0.210515306,21,100
Market-Adjusted Model,12489,2012-10-22,-0.105042009,-0.058450672,-0.062810046,21,100
Market-Adjusted Model,12492,2012-10-22,0.0105263077,0.0715112104,0.0527582708,21,100
Market-Adjusted Model,12493,2012-10-22,-0.108711839,-0.068691297,-0.066479876,21,100
Market-Adjusted Model,12494,2012-10-22,-0.063034107,-0.01825812,-0.020802144,21,100
Market-Adjusted Model,12496,2012-10-22,0.1299342024,0.1715425069,0.1721661655,21,100
Market-Adjusted Model,12497,2012-10-22,-0.247863217,-0.233645679,-0.205631254,21,100
Market-Adjusted Model,12498,2012-10-22,-0.028148158,0.0264087547,0.0140838055,21,100
Market-Adjusted Model,12499,2012-10-22,0.1551247084,0.1944392127,0.1973566714,21,100
Market-Adjusted Model,12500,2012-10-22,0.0530972919,0.0961919881,0.095329255,21,100
Market-Adjusted Model,12501,2012-10-22,-0.081760959,-0.037654285,-0.039528996,21,100
Market-Adjusted Model,12502,2012-10-22,0.0403659607,0.1014552272,0.0825979238,21,100
Market-Adjusted Model,12505,2012-10-22,0.041480513,0.0836373884,0.0837124761,21,100
Market-Adjusted Model,12507,2012-10-22,-0.265536753,-0.252137149,-0.22330479,21,100
Market-Adjusted Model,12508,2012-10-22,-0.01442836,0.0287300214,0.0278036027,21,100
Market-Adjusted Model,12509,2012-10-22,0.0034090596,0.0480786459,0.0456410227,21,100
Market-Adjusted Model,12510,2012-10-22,-0.009236777,0.0347119659,0.0329951861,21,100
Market-Adjusted Model,12513,2012-10-22,-0.007222852,0.0359809108,0.0350091111,21,100
Market-Adjusted Model,12514,2012-10-22,0.033616919,0.0759140958,0.0758488821,21,100
Market-Adjusted Model,12515,2012-10-22,-0.077631075,-0.037029669,-0.035399112,21,100
Market-Adjusted Model,12516,2012-10-22,-0.005568557,0.0370227447,0.0366634061,21,100
Market-Adjusted Model,12517,2012-10-22,0.0071364174,0.0494552863,0.0493683805,21,100
Market-Adjusted Model,12518,2012-10-22,0.003069624,0.0453756284,0.0453015871,21,100
Market-Adjusted Model,12519,2012-10-22,0.0024117914,0.0447215675,0.0446437545,21,100
Market-Adjusted Model,12520,2012-10-22,0.0033228407,0.0457428965,0.0455548038,21,100
Market-Adjusted Model,12521,2012-10-22,-0.179943773,-0.145795279,-0.13771181,21,100
Market-Adjusted Model,12522,2012-10-22,-0.034893302,0.0074466511,0.0073386613,21,100
Market-Adjusted Model,12523,2012-10-22,-0.019420781,0.0233614234,0.0228111825,21,100
Market-Adjusted Model,12526,2012-10-22,0.0301841057,0.0327014115,0.0328632945,9,100
Market-Adjusted Model,12527,2012-10-22,-0.25999997,-0.243165937,-0.217768007,21,100
Market-Adjusted Model,12528,2012-10-22,-0.013194415,0.0307481033,0.0290375478,21,100
Market-Adjusted Model,12529,2012-10-22,-0.028669235,0.0152772769,0.0135627282,21,100
Market-Adjusted Model,12530,2012-10-22,-0.029929546,0.0154540263,0.0123024167,21,100
Market-Adjusted Model,12531,2012-10-22,0.0868609091,0.1406808429,0.1290928722,21,100
Market-Adjusted Model,12533,2012-10-22,-0.036160691,0.0066708459,0.006071272,21,100
Market-Adjusted Model,12534,2012-10-22,-0.071973469,-0.031233008,-0.029741506,21,100
Market-Adjusted Model,12535,2012-10-22,-0.01426479,0.0287826638,0.0279671732,21,100
Market-Adjusted Model,12536,2012-10-22,-0.006269403,0.0364040802,0.0359625605,21,100
